KNR;SVM;RF;GB;MLP
0.8595999901290805;0.8611207052698653;0.9175753572535699;0.998348563084976;0.8733794285056027
0.8283742102761158;0.8251688896796818;0.8906142181259459;0.9192180771470045;0.8411567588874798
1.0;0.8768904273394115;0.9173911999320151;0.9354304348522904;0.8874397884867613
1.0;0.8914237824575838;0.9257641215140946;0.9309998088750903;0.8957302071735341
1.0;0.8325735563029055;0.895819158299208;0.9679858543572628;0.8403953750450679
1.0;0.8213217975109937;0.8866030646380202;0.832781522350443;0.836894914637554
1.0;0.8477696073462652;0.9107451337980615;0.9017706508865488;0.8601508153132496
1.0;0.8721625942748399;0.9084637831017377;0.9728882255375165;0.8815329574448099
1.0;0.841943197519152;0.9117361762869531;0.9343087616357297;0.857174976771251
1.0;0.8114524520882382;0.8967641316493239;0.92260983548029;0.8282155989942955
1.0;0.7934147321569229;0.8757016425826424;0.8635125388867044;0.8137641956111122
1.0;0.8629468232874362;0.9117065090128329;0.969567143238403;0.8748020945042843
1.0;0.8759661731413062;0.9147277114084692;0.9456029515298953;0.887047678388637
0.8543287900445571;0.8562736420446276;0.91838503555761;0.9464993015972091;0.867496598424345
1.0;0.8543275517413459;0.913844301405979;0.9125149794685823;0.8671300772919157
1.0;0.8599686428563835;0.9162652356127376;0.9926702534756092;0.8724921136223942
1.0;0.8711022710585209;0.9097698685772411;0.9992992971482346;0.8799966642288881
1.0;0.8485222092878724;0.9061370720671746;0.9341049562529917;0.8573353104725153
1.0;0.8637540470268837;0.9339960111551995;0.8812727007639793;0.8777998807314846
1.0;0.8529392385703849;0.9118833369354028;0.9568217516435356;0.8615706168204728
0.9771151495224878;0.851052117048031;0.9086946534457109;0.9359103804106148;0.8630753025677829
0.9771151495224877;0.851052117048031;0.9086946534457109;0.9359103804106148;0.8630753025677829
0.9771151495224877;0.851052117048031;0.9086946534457109;0.9359103804106148;0.8630753025677828
0.9771151495224876;0.851052117048031;0.9086946534457109;0.9359103804106148;0.8630753025677828
