KNR;SVM;RF;GB;MLP
2.666748466257669;1.5217778590173392;1.606866129821536;1.606866129821536;1.5441765717374296
2.330552147239264;1.3054599437482033;1.3695026058782125;1.3695026058782125;1.2787801536391992
3.09156931845362;1.6178091779399275;1.4997292574720957;1.4997292574720957;1.6034129533098285
1.5882924054008323;1.1628277359292074;1.1842017972643928;1.1842017972643928;1.1580464456745114
3.0680254223197716;1.4137717760420352;1.4858567122929236;1.4858567122929236;1.4200713429602667
2.0634236585889614;1.236912389394216;1.3956628656675594;1.3956628656675594;1.295311396374389
2.2050783565834218;1.3025733085156768;1.3499028422376906;1.3499028422376906;1.2821150671659245
2.897643724561931;1.4301935442330518;1.4819461191395251;1.4819461191395251;1.4847886593307418
1.3699205086188675;0.8442624704811288;1.0002866151943486;1.0002866151943486;0.9917712488074627
1.6140572703127718;1.0157902921972009;1.3006082100603538;1.3006082100603538;1.051115035882462
1.807862822097003;0.9857886746618939;1.1343698643201847;1.1343698643201847;1.0625160738616806
1.9157854063012494;1.3263818335203859;1.4181637582263682;1.4181637582263682;1.3384064458356146
2.236889029650166;1.3901747356774956;1.4538413660891032;1.4538413660891032;1.3267882475304458
1.9490184049079755;1.0949084259859116;1.1184726854802773;1.1184726854802773;1.106964448495086
1.495463062896477;1.0961407555933549;1.1381926718164266;1.1381926718164266;1.1763325001822147
2.3012937835547542;1.3208399144194776;1.4317682991503402;1.4317682991503402;1.3081349948066419
2.535032488839168;1.3634985823894834;1.3024347489552333;1.3024347489552333;1.3715671923925268
2.001122592688263;1.1740546406977594;1.2527518832104034;1.2527518832104034;1.2816607344924977
1.9300222399167244;1.3323715708552866;1.4651685677197275;1.4651685677197275;1.315392509448123
1.9285663279693597;0.9572019323823583;1.0099949026304131;1.0099949026304131;1.0439618668392554
2.1498183718579122;1.2446369781840692;1.3199860951313558;1.3199860951313558;1.2720656944383153
2.1498183718579122;1.2446369781840692;1.3199860951313558;1.3199860951313558;1.2720656944383153
2.1498183718579122;1.2446369781840692;1.3199860951313558;1.3199860951313558;1.2720656944383153
2.1498183718579122;1.2446369781840692;1.3199860951313558;1.3199860951313558;1.272065694438315
