KNR;SVM;RF;GB;MLP
1.0245398773006136;0.842691530466654;0.9480609426069522;0.9480609426069522;0.9183238995521358
1.0957055214723925;0.8108788050899555;0.8894056632219632;0.8894056632219632;0.834308613526186
1.1174591113595598;0.899356337713969;0.8651104048867679;0.8651104048867679;0.9359500642972025
0.9040660923754842;0.7905982475787444;0.821697708179951;0.821697708179951;0.8347112643470469
1.1434605793320254;0.8352616485248231;0.865053318509122;0.865053318509122;0.8892327586011903
0.9781384903769345;0.7810888619227386;0.8971320728594122;0.8971320728594122;0.8666128318561669
1.009611413782041;0.7720315976917305;0.8288379131914494;0.8288379131914494;0.8338553399854829
1.110037362947833;0.835190097508446;0.9014802006106889;0.9014802006106889;0.8721702927205454
0.8355496609475512;0.6495246066999979;0.7281093321457683;0.7281093321457683;0.7739089175483099
0.9190274648348618;0.689547736628235;0.8699392948788738;0.8699392948788738;0.7532771985426021
1.0223664213531545;0.769738181074413;0.7670013304773426;0.7670013304773426;0.8140592350973594
1.0199075621814664;0.8211899979592847;0.9153626291997075;0.9153626291997075;0.896912864884029
0.9594005987338758;0.8024196648446498;0.8838029914307869;0.8838029914307869;0.8132935268605326
0.9944785276073618;0.7254049973234672;0.7644027209174934;0.7644027209174934;0.7838922643915625
0.9014605862270699;0.7801432308185734;0.8320004461600842;0.8320004461600842;0.8622976162562229
1.0356974750953225;0.8834629271259727;0.936794544362605;0.936794544362605;0.9034868937081164
0.9682477820733878;0.8020467743129803;0.8257499279828303;0.8257499279828303;0.8313756698523027
0.8874157885355815;0.740415061346596;0.7626502955272342;0.7626502955272342;0.8193827579836511
0.9518186845945698;0.8398260540902007;0.8926702258391119;0.8926702258391119;0.8715754332357553
0.9399157020038756;0.7023083666028699;0.734892648270123;0.734892648270123;0.8068652598076455
